id;TIPO DE VENTANA;PERFIL MARCO;PERFIL HOJA;MOSQUITERO;BATIENTE;TAPAJAMBA;CANT_VIDRIOS;MULT_MARCO;MULT_HOJA;MULT_MOSQ;MULT_BATIENTE;MULT_TAPAJAMBA;CERROJOS;RODOS;RODO MOSQUITERO;BISAGRAS;CHAPA;DEMAS ACCESORIOS;;ACCESORIOS
12;PUERTA ANDINA;MARCO FIJO 60;HOJA ANDINA;;BATIENTE PARA DUELA;;1;SUMAR ANCHO Y MULTIPLICAR ALTO *2;SUMAR ANCHO Y ALTO Y *2;;SUMAR ANCHO Y ALTO Y *2;;;;;3 BISAGRAS ANDINA; 1 CHAPA DE MANECILLA;;;
13;PUERTA DE LUJO 2 HOJAS;MARCO FIJO 60;HOJA DE LUJO ADENTRO O AFUERA;;BATIENTE PARA FIJO;;2;SUMAR ANCHO Y MULTIPLICAR ALTO *2;SUMAR ANCHO Y ALTO Y *4;;SUMAR ANCHO Y ALTO Y *4;;;;;6 BISAGRAS DE LUJO 8 AGUJEROS;1 CHAPA DE PIVOTE;2 PASAPORES OCULTOS;;
14;PUERTA DE LUJO 1 HOJA;MARCO FIJO 60;HOJA DE LUJO ADENTRO O AFUERA;;BATIENTE PARA FIJO;;1;SUMAR ANCHO Y MULTIPLICAR ALTO *2;SUMAR ANCHO Y ALTO Y *2;;SUMAR ANCHO Y ALTO Y *2;;;;;3 BISAGRAS DE LUJO 8 AGUJEROS;1 CHAPA DE PIVOTE;;;
15;VENTANA ABATIBLE DE 1 HOJA;MARCO FIJO 60;HOJA ABATIBLE;;BATIENTE PARA FIJO;;1;SUMAR ANCHO Y ALTO Y *2;SUMAR ANCHO Y ALTO Y *2;;SUMAR ANCHO Y ALTO Y *2;;;;;3 BISAGRAS ABATIBLES; 1 CHAPA INTERNA;;;1 CREMONA 60 CM
16;VENTANA ABATIBLE DE 2 HOJAS;MARCO FIJO 60;HOJA ABATIBLE ;;BATIENTE PARA FIJO;;2;SUMAR ANCHO Y ALTO Y *2;SUMAR ANCHO Y ALTO Y *4;;SUMAR ANCHO Y ALTO Y *4;;;;;6 BISAGRAS ABATIBLES; 1 CHAPA INTERNA;2 PASAPORES OCULTOS;;1 CREMONA 60 CM
17;VENTANA PROYECTABLE;MARCO FIJO 60;HOJA PROYECTABLE;;BATIENTE PARA FIJO;;1;SUMAR ANCHO Y ALTO Y *2;SUMAR ANCHO Y ALTO Y *2;;SUMAR ANCHO Y ALTO Y *2;;;;;2 BISAGRAS DE FRICCION;1 MANIJA PROYECTABLE;;;
18;VENTANA CORREDIZA 2 HOJAS 55 CM MARCO 5 CM;MARCO CORREDIZO S80 5 CM;HOJA CORREDIZA S60 5,5 CM;HOJA CEDAZO;BATIENTE CORREDIZO;TAPAJAMBA;2;SUMAR ANCHO Y ALTO Y *2;SUMAR ANCHO Y ALTO Y *4;SUMAR ANCHO Y ALTO Y *2;SUMAR ANCHO Y ALTO Y *4;SUMAR ALTO Y *2;1;4;2;;;;;
19;VENTANA CORREDIZA 3 HOJAS 55 CM MARCO 5 CM LATERALES OCULTOS;MARCO CORREDIZO S80 5 CM;HOJA CORREDIZA S60 5,5 CM;HOJA CEDAZO;BATIENTE CORREDIZO;TAPAJAMBA;3;SUMAR ANCHO Y ALTO Y *2;SUMAR ANCHO Y ALTO Y *6;SUMAR ANCHO Y ALTO Y *4;SUMAR ANCHO Y ALTO Y *6;SUMAR ALTO Y *4;2;6;4;;;;;
20;VENTANA CORREDIZA 3 HOJAS 55 CM MARCO 5 CM 3 IGUALES;MARCO CORREDIZO S80 5 CM;HOJA CORREDIZA S60 5,5 CM;HOJA CEDAZO;BATIENTE CORREDIZO;TAPAJAMBA;3;SUMAR ANCHO Y ALTO Y *2;SUMAR ANCHO Y ALTO Y *6;SUMAR ANCHO Y ALTO Y *2;SUMAR ANCHO Y ALTO Y *6;SUMAR ALTO Y *4;2;6;2;;;;;
21;VENTANA CORREDIZA 4 HOJAS 55 CM MARCO 5 CM;MARCO CORREDIZO S80 5 CM;HOJA CORREDIZA S60 5,5 CM;HOJA CEDAZO;BATIENTE CORREDIZO;TAPAJAMBA;4;SUMAR ANCHO Y ALTO Y *2;SUMAR ANCHO Y ALTO Y *8;SUMAR ANCHO Y ALTO Y *4;SUMAR ANCHO Y ALTO Y *8;SUMAR ALTO Y *4;2;8;2;;;;;
